FIPS,County,State,Condition,Urban/Rural,Total,Total No. of Beneficiaries,White,No. of Beneficiaries Who are White,Black,No. of Beneficiaries Who are Black,Asian/Pacific Islander,No. of Beneficiaries Who are Asian/Pacific Islander,Hispanic,No. of Beneficiaries Who are Hispanic,American Indian/Alaska Native,No. of Beneficiaries Who are American Indian/Alaska Native,Other,No. of Beneficiaries Who are in Other Ethic Groups
54021,GILMER,WV,Congestive Heart Failure,Rural,15,[500-999],15,[500-999],*,*,*,*,*,*,*,*,*,*
54023,GRANT,WV,Congestive Heart Failure,Rural,18,"[1,000-4,999]",18,"[1,000-4,999]",29,[11-499],*,*,23,[11-499],*,*,*,*
54025,GREENBRIER,WV,Congestive Heart Failure,Rural,15,"[5,000-9,999]",15,"[5,000-9,999]",15,[11-499],17,[11-499],0,[11-499],*,*,0,[11-499]
54027,HAMPSHIRE,WV,Congestive Heart Failure,Urban,13,"[1,000-4,999]",13,"[1,000-4,999]",21,[11-499],0,[11-499],11,[11-499],*,*,*,*
54029,HANCOCK,WV,Congestive Heart Failure,Urban,16,"[5,000-9,999]",17,"[5,000-9,999]",11,[11-499],0,[11-499],12,[11-499],*,*,18,[11-499]
54031,HARDY,WV,Congestive Heart Failure,Rural,16,"[1,000-4,999]",16,"[1,000-4,999]",9,[11-499],*,*,*,*,*,*,*,*
54033,HARRISON,WV,Congestive Heart Failure,Rural,12,"[10,000+]",13,"[10,000+]",12,[11-499],0,[11-499],7,[11-499],*,*,9,[11-499]
54035,JACKSON,WV,Congestive Heart Failure,Rural,16,"[1,000-4,999]",16,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,15,[11-499]
54037,JEFFERSON,WV,Congestive Heart Failure,Urban,11,"[5,000-9,999]",11,"[5,000-9,999]",14,[11-499],0,[11-499],7,[11-499],*,*,0,[11-499]
54039,KANAWHA,WV,Congestive Heart Failure,Urban,15,"[10,000+]",15,"[10,000+]",15,"[1,000-4,999]",6,[11-499],14,[11-499],*,*,7,[11-499]
54041,LEWIS,WV,Congestive Heart Failure,Rural,12,"[1,000-4,999]",12,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
54043,LINCOLN,WV,Congestive Heart Failure,Urban,15,"[1,000-4,999]",15,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
54045,LOGAN,WV,Congestive Heart Failure,Rural,16,"[5,000-9,999]",16,"[5,000-9,999]",19,[11-499],*,*,17,[11-499],*,*,0,[11-499]
54047,MC DOWELL,WV,Congestive Heart Failure,Rural,16,"[1,000-4,999]",15,"[1,000-4,999]",18,[11-499],*,*,0,[11-499],*,*,33,[11-499]
54049,MARION,WV,Congestive Heart Failure,Rural,23,"[5,000-9,999]",23,"[5,000-9,999]",23,[11-499],12,[11-499],18,[11-499],*,*,30,[11-499]
54051,MARSHALL,WV,Congestive Heart Failure,Urban,15,"[1,000-4,999]",15,"[1,000-4,999]",22,[11-499],*,*,0,[11-499],*,*,*,*
54053,MASON,WV,Congestive Heart Failure,Rural,19,"[1,000-4,999]",19,"[1,000-4,999]",28,[11-499],0,[11-499],*,*,*,*,31,[11-499]
54055,MERCER,WV,Congestive Heart Failure,Rural,18,"[10,000+]",17,"[10,000+]",19,[500-999],13,[11-499],26,[11-499],*,*,18,[11-499]
54057,MINERAL,WV,Congestive Heart Failure,Urban,16,"[1,000-4,999]",16,"[1,000-4,999]",15,[11-499],0,[11-499],*,*,*,*,*,*
54059,MINGO,WV,Congestive Heart Failure,Rural,17,"[1,000-4,999]",17,"[1,000-4,999]",14,[11-499],*,*,*,*,*,*,*,*
54061,MONONGALIA,WV,Congestive Heart Failure,Urban,15,"[5,000-9,999]",16,"[5,000-9,999]",17,[11-499],7,[11-499],11,[11-499],*,*,13,[11-499]
54063,MONROE,WV,Congestive Heart Failure,Rural,15,"[1,000-4,999]",15,"[1,000-4,999]",0,[11-499],*,*,0,[11-499],*,*,*,*
54065,MORGAN,WV,Congestive Heart Failure,Urban,13,"[1,000-4,999]",13,"[1,000-4,999]",14,[11-499],*,*,0,[11-499],*,*,31,[11-499]
54067,NICHOLAS,WV,Congestive Heart Failure,Rural,13,"[1,000-4,999]",13,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,*,*
54069,OHIO,WV,Congestive Heart Failure,Urban,14,"[5,000-9,999]",14,"[5,000-9,999]",12,[11-499],0,[11-499],19,[11-499],0,[11-499],0,[11-499]
54071,PENDLETON,WV,Congestive Heart Failure,Rural,15,"[1,000-4,999]",16,"[1,000-4,999]",0,[11-499],*,*,*,*,*,*,*,*
54073,PLEASANTS,WV,Congestive Heart Failure,Urban,18,"[1,000-4,999]",18,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
54075,POCAHONTAS,WV,Congestive Heart Failure,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
54077,PRESTON,WV,Congestive Heart Failure,Urban,16,"[1,000-4,999]",16,"[1,000-4,999]",*,*,*,*,33,[11-499],*,*,*,*
54079,PUTNAM,WV,Congestive Heart Failure,Urban,13,"[5,000-9,999]",13,"[5,000-9,999]",24,[11-499],0,[11-499],0,[11-499],*,*,22,[11-499]
54081,RALEIGH,WV,Congestive Heart Failure,Rural,16,"[10,000+]",16,"[10,000+]",19,[500-999],4,[11-499],7,[11-499],*,*,12,[11-499]
54083,RANDOLPH,WV,Congestive Heart Failure,Rural,15,"[5,000-9,999]",15,"[5,000-9,999]",21,[11-499],0,[11-499],0,[11-499],*,*,0,[11-499]
54085,RITCHIE,WV,Congestive Heart Failure,Rural,16,"[1,000-4,999]",16,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
54087,ROANE,WV,Congestive Heart Failure,Rural,12,"[1,000-4,999]",12,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
54089,SUMMERS,WV,Congestive Heart Failure,Rural,17,"[1,000-4,999]",17,"[1,000-4,999]",19,[11-499],*,*,*,*,*,*,*,*
54091,TAYLOR,WV,Congestive Heart Failure,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",0,[11-499],*,*,*,*,*,*,*,*
54093,TUCKER,WV,Congestive Heart Failure,Rural,16,"[1,000-4,999]",16,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
54095,TYLER,WV,Congestive Heart Failure,Rural,15,"[1,000-4,999]",15,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
54097,UPSHUR,WV,Congestive Heart Failure,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,*,*
54099,WAYNE,WV,Congestive Heart Failure,Urban,14,"[1,000-4,999]",14,"[1,000-4,999]",*,*,*,*,*,*,*,*,0,[11-499]
54101,WEBSTER,WV,Congestive Heart Failure,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
54103,WETZEL,WV,Congestive Heart Failure,Rural,15,"[1,000-4,999]",15,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
54105,WIRT,WV,Congestive Heart Failure,Urban,15,"[1,000-4,999]",15,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
54107,WOOD,WV,Congestive Heart Failure,Urban,17,"[10,000+]",17,"[10,000+]",13,[11-499],0,[11-499],11,[11-499],*,*,14,[11-499]
54109,WYOMING,WV,Congestive Heart Failure,Rural,15,"[1,000-4,999]",15,"[1,000-4,999]",17,[11-499],*,*,*,*,*,*,*,*
55001,ADAMS,WI,Congestive Heart Failure,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",*,*,0,[11-499],0,[11-499],*,*,*,*
55003,ASHLAND,WI,Congestive Heart Failure,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",*,*,*,*,0,[11-499],20,[11-499],18,[11-499]
55005,BARRON,WI,Congestive Heart Failure,Rural,14,"[5,000-9,999]",14,"[5,000-9,999]",0,[11-499],13,[11-499],13,[11-499],21,[11-499],14,[11-499]
55007,BAYFIELD,WI,Congestive Heart Failure,Rural,13,"[1,000-4,999]",12,"[1,000-4,999]",*,*,*,*,*,*,23,[11-499],*,*
55009,BROWN,WI,Congestive Heart Failure,Urban,13,"[10,000+]",13,"[10,000+]",14,[11-499],13,[11-499],8,[11-499],15,[500-999],13,[11-499]
55011,BUFFALO,WI,Congestive Heart Failure,Rural,16,"[1,000-4,999]",15,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
55013,BURNETT,WI,Congestive Heart Failure,Rural,12,"[1,000-4,999]",12,"[1,000-4,999]",*,*,*,*,*,*,17,[11-499],0,[11-499]
55015,CALUMET,WI,Congestive Heart Failure,Urban,15,"[1,000-4,999]",15,"[1,000-4,999]",*,*,*,*,18,[11-499],*,*,*,*
55017,CHIPPEWA,WI,Congestive Heart Failure,Urban,14,"[5,000-9,999]",14,"[5,000-9,999]",0,[11-499],23,[11-499],0,[11-499],28,[11-499],31,[11-499]
55019,CLARK,WI,Congestive Heart Failure,Rural,15,"[1,000-4,999]",15,"[1,000-4,999]",*,*,*,*,14,[11-499],*,*,25,[11-499]
55021,COLUMBIA,WI,Congestive Heart Failure,Urban,11,"[5,000-9,999]",11,"[5,000-9,999]",11,[11-499],0,[11-499],14,[11-499],23,[11-499],19,[11-499]
55023,CRAWFORD,WI,Congestive Heart Failure,Rural,12,"[1,000-4,999]",12,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
55025,DANE,WI,Congestive Heart Failure,Urban,10,"[10,000+]",10,"[10,000+]",12,"[1,000-4,999]",9,[500-999],8,[500-999],16,[11-499],8,[11-499]
55027,DODGE,WI,Congestive Heart Failure,Rural,14,"[5,000-9,999]",14,"[5,000-9,999]",9,[11-499],15,[11-499],18,[11-499],*,*,17,[11-499]
55029,DOOR,WI,Congestive Heart Failure,Rural,13,"[5,000-9,999]",13,"[5,000-9,999]",25,[11-499],0,[11-499],15,[11-499],0,[11-499],0,[11-499]
55031,DOUGLAS,WI,Congestive Heart Failure,Urban,14,"[5,000-9,999]",14,"[5,000-9,999]",15,[11-499],17,[11-499],0,[11-499],12,[11-499],14,[11-499]
55033,DUNN,WI,Congestive Heart Failure,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",0,[11-499],12,[11-499],13,[11-499],0,[11-499],15,[11-499]
55035,EAU CLAIRE,WI,Congestive Heart Failure,Urban,14,"[10,000+]",14,"[10,000+]",10,[11-499],12,[11-499],11,[11-499],21,[11-499],0,[11-499]
55037,FLORENCE,WI,Congestive Heart Failure,Rural,15,[500-999],15,[500-999],*,*,*,*,*,*,*,*,*,*
55039,FOND DU LAC,WI,Congestive Heart Failure,Urban,14,"[10,000+]",14,"[5,000-9,999]",20,[11-499],15,[11-499],16,[11-499],23,[11-499],19,[11-499]
55041,FOREST,WI,Congestive Heart Failure,Rural,16,"[1,000-4,999]",16,"[1,000-4,999]",*,*,*,*,*,*,25,[11-499],*,*
55043,GRANT,WI,Congestive Heart Failure,Rural,11,"[5,000-9,999]",11,"[5,000-9,999]",0,[11-499],0,[11-499],0,[11-499],*,*,0,[11-499]
55045,GREEN,WI,Congestive Heart Failure,Rural,13,"[5,000-9,999]",13,"[5,000-9,999]",23,[11-499],*,*,0,[11-499],*,*,20,[11-499]
55047,GREEN LAKE,WI,Congestive Heart Failure,Rural,12,"[1,000-4,999]",12,"[1,000-4,999]",*,*,*,*,14,[11-499],*,*,*,*
55049,IOWA,WI,Congestive Heart Failure,Urban,10,"[1,000-4,999]",10,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,0,[11-499]
55051,IRON,WI,Congestive Heart Failure,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",*,*,*,*,*,*,0,[11-499],*,*
55053,JACKSON,WI,Congestive Heart Failure,Rural,14,"[1,000-4,999]",13,"[1,000-4,999]",*,*,*,*,29,[11-499],17,[11-499],*,*
55055,JEFFERSON,WI,Congestive Heart Failure,Rural,13,"[10,000+]",13,"[10,000+]",15,[11-499],0,[11-499],12,[11-499],24,[11-499],14,[11-499]
55057,JUNEAU,WI,Congestive Heart Failure,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",0,[11-499],*,*,11,[11-499],25,[11-499],21,[11-499]
55059,KENOSHA,WI,Congestive Heart Failure,Urban,11,"[10,000+]",12,"[10,000+]",12,[500-999],8,[11-499],8,[500-999],0,[11-499],12,[11-499]
55061,KEWAUNEE,WI,Congestive Heart Failure,Urban,16,"[1,000-4,999]",16,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,*,*
55063,LA CROSSE,WI,Congestive Heart Failure,Urban,13,"[10,000+]",13,"[10,000+]",14,[11-499],8,[11-499],12,[11-499],16,[11-499],9,[11-499]
55065,LAFAYETTE,WI,Congestive Heart Failure,Rural,15,"[1,000-4,999]",15,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,*,*
55067,LANGLADE,WI,Congestive Heart Failure,Rural,17,"[1,000-4,999]",17,"[1,000-4,999]",*,*,*,*,*,*,20,[11-499],*,*
55069,LINCOLN,WI,Congestive Heart Failure,Rural,15,"[1,000-4,999]",16,"[1,000-4,999]",*,*,0,[11-499],23,[11-499],0,[11-499],0,[11-499]
55071,MANITOWOC,WI,Congestive Heart Failure,Rural,14,"[5,000-9,999]",14,"[5,000-9,999]",13,[11-499],13,[11-499],18,[11-499],20,[11-499],12,[11-499]
55073,MARATHON,WI,Congestive Heart Failure,Urban,15,"[10,000+]",15,"[10,000+]",17,[11-499],14,[500-999],13,[11-499],23,[11-499],17,[11-499]
55075,MARINETTE,WI,Congestive Heart Failure,Rural,17,"[5,000-9,999]",17,"[5,000-9,999]",0,[11-499],25,[11-499],20,[11-499],17,[11-499],13,[11-499]
55077,MARQUETTE,WI,Congestive Heart Failure,Rural,12,"[1,000-4,999]",12,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,0,[11-499]
55078,MENOMONEE,WI,Congestive Heart Failure,Rural,12,[500-999],13,[11-499],*,*,*,*,*,*,11,[11-499],*,*
55079,MILWAUKEE,WI,Congestive Heart Failure,Urban,15,"[10,000+]",15,"[10,000+]",17,"[10,000+]",11,"[1,000-4,999]",13,"[1,000-4,999]",16,[11-499],13,[11-499]
55081,MONROE,WI,Congestive Heart Failure,Rural,14,"[5,000-9,999]",14,"[5,000-9,999]",13,[11-499],0,[11-499],10,[11-499],13,[11-499],20,[11-499]
55083,OCONTO,WI,Congestive Heart Failure,Urban,14,"[1,000-4,999]",14,"[1,000-4,999]",*,*,*,*,0,[11-499],14,[11-499],*,*
55085,ONEIDA,WI,Congestive Heart Failure,Rural,14,"[5,000-9,999]",14,"[5,000-9,999]",0,[11-499],15,[11-499],10,[11-499],18,[11-499],23,[11-499]
55087,OUTAGAMIE,WI,Congestive Heart Failure,Urban,11,"[10,000+]",11,"[10,000+]",11,[11-499],11,[11-499],9,[11-499],18,[11-499],9,[11-499]
55089,OZAUKEE,WI,Congestive Heart Failure,Urban,11,"[5,000-9,999]",11,"[5,000-9,999]",16,[11-499],6,[11-499],7,[11-499],*,*,25,[11-499]
55091,PEPIN,WI,Congestive Heart Failure,Rural,16,"[1,000-4,999]",16,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
55093,PIERCE,WI,Congestive Heart Failure,Urban,12,"[1,000-4,999]",12,"[1,000-4,999]",14,[11-499],0,[11-499],11,[11-499],*,*,0,[11-499]
55095,POLK,WI,Congestive Heart Failure,Rural,11,"[1,000-4,999]",11,"[1,000-4,999]",*,*,0,[11-499],0,[11-499],21,[11-499],0,[11-499]
55097,PORTAGE,WI,Congestive Heart Failure,Rural,12,"[5,000-9,999]",12,"[5,000-9,999]",28,[11-499],16,[11-499],12,[11-499],0,[11-499],16,[11-499]
55099,PRICE,WI,Congestive Heart Failure,Rural,13,"[1,000-4,999]",13,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
55101,RACINE,WI,Congestive Heart Failure,Urban,12,"[10,000+]",12,"[10,000+]",15,"[1,000-4,999]",5,[11-499],11,[500-999],12,[11-499],6,[11-499]
55103,RICHLAND,WI,Congestive Heart Failure,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",*,*,*,*,21,[11-499],*,*,0,[11-499]
55105,ROCK,WI,Congestive Heart Failure,Urban,13,"[10,000+]",13,"[10,000+]",14,[500-999],5,[11-499],10,[11-499],23,[11-499],9,[11-499]
55107,RUSK,WI,Congestive Heart Failure,Rural,15,"[1,000-4,999]",15,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,*,*
55109,ST. CROIX,WI,Congestive Heart Failure,Urban,12,"[5,000-9,999]",12,"[5,000-9,999]",10,[11-499],0,[11-499],0,[11-499],0,[11-499],21,[11-499]
55111,SAUK,WI,Congestive Heart Failure,Rural,11,"[5,000-9,999]",11,"[5,000-9,999]",0,[11-499],0,[11-499],11,[11-499],18,[11-499],12,[11-499]
55113,SAWYER,WI,Congestive Heart Failure,Rural,13,"[1,000-4,999]",12,"[1,000-4,999]",*,*,*,*,0,[11-499],19,[11-499],0,[11-499]
55115,SHAWANO,WI,Congestive Heart Failure,Rural,15,"[1,000-4,999]",15,"[1,000-4,999]",*,*,*,*,0,[11-499],17,[11-499],*,*
55117,SHEBOYGAN,WI,Congestive Heart Failure,Urban,12,"[10,000+]",12,"[10,000+]",18,[11-499],11,[11-499],11,[11-499],0,[11-499],15,[11-499]
55119,TAYLOR,WI,Congestive Heart Failure,Rural,13,"[1,000-4,999]",13,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
55121,TREMPEALEAU,WI,Congestive Heart Failure,Rural,15,"[1,000-4,999]",15,"[1,000-4,999]",*,*,0,[11-499],0,[11-499],*,*,23,[11-499]
55123,VERNON,WI,Congestive Heart Failure,Rural,12,"[1,000-4,999]",12,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,*,*
55125,VILAS,WI,Congestive Heart Failure,Rural,13,"[1,000-4,999]",13,"[1,000-4,999]",*,*,*,*,27,[11-499],27,[11-499],0,[11-499]
55127,WALWORTH,WI,Congestive Heart Failure,Rural,12,"[10,000+]",12,"[10,000+]",17,[11-499],0,[11-499],7,[11-499],*,*,8,[11-499]
55129,WASHBURN,WI,Congestive Heart Failure,Rural,13,"[1,000-4,999]",13,"[1,000-4,999]",*,*,*,*,25,[11-499],19,[11-499],*,*
55131,WASHINGTON,WI,Congestive Heart Failure,Urban,13,"[10,000+]",13,"[10,000+]",12,[11-499],10,[11-499],11,[11-499],0,[11-499],13,[11-499]
55133,WAUKESHA,WI,Congestive Heart Failure,Urban,12,"[10,000+]",12,"[10,000+]",12,[11-499],7,[11-499],8,[500-999],24,[11-499],9,[11-499]
55135,WAUPACA,WI,Congestive Heart Failure,Rural,12,"[5,000-9,999]",12,"[5,000-9,999]",36,[11-499],24,[11-499],0,[11-499],0,[11-499],0,[11-499]
55137,WAUSHARA,WI,Congestive Heart Failure,Rural,12,"[1,000-4,999]",12,"[1,000-4,999]",*,*,*,*,15,[11-499],*,*,*,*
55139,WINNEBAGO,WI,Congestive Heart Failure,Urban,12,"[10,000+]",12,"[10,000+]",13,[11-499],6,[11-499],6,[11-499],13,[11-499],13,[11-499]
55141,WOOD,WI,Congestive Heart Failure,Rural,14,"[5,000-9,999]",14,"[5,000-9,999]",15,[11-499],11,[11-499],11,[11-499],24,[11-499],0,[11-499]
56001,ALBANY,WY,Congestive Heart Failure,Rural,10,"[1,000-4,999]",10,"[1,000-4,999]",26,[11-499],8,[11-499],11,[11-499],0,[11-499],0,[11-499]
56003,BIG HORN,WY,Congestive Heart Failure,Rural,15,"[1,000-4,999]",15,"[1,000-4,999]",*,*,*,*,15,[11-499],0,[11-499],0,[11-499]
56005,CAMPBELL,WY,Congestive Heart Failure,Rural,13,"[1,000-4,999]",13,"[1,000-4,999]",*,*,0,[11-499],10,[11-499],9,[11-499],0,[11-499]
56007,CARBON,WY,Congestive Heart Failure,Rural,10,"[1,000-4,999]",10,"[1,000-4,999]",0,[11-499],0,[11-499],12,[11-499],*,*,27,[11-499]
56009,CONVERSE,WY,Congestive Heart Failure,Rural,13,"[1,000-4,999]",12,"[1,000-4,999]",*,*,23,[11-499],17,[11-499],*,*,0,[11-499]
56011,CROOK,WY,Congestive Heart Failure,Rural,11,"[1,000-4,999]",11,"[1,000-4,999]",*,*,*,*,*,*,*,*,*,*
56013,FREMONT,WY,Congestive Heart Failure,Rural,10,"[5,000-9,999]",10,"[5,000-9,999]",*,*,0,[11-499],9,[11-499],14,[500-999],0,[11-499]
56015,GOSHEN,WY,Congestive Heart Failure,Rural,11,"[1,000-4,999]",11,"[1,000-4,999]",*,*,*,*,8,[11-499],*,*,31,[11-499]
56017,HOT SPRINGS,WY,Congestive Heart Failure,Rural,11,"[1,000-4,999]",11,"[1,000-4,999]",*,*,*,*,0,[11-499],21,[11-499],*,*
56019,JOHNSON,WY,Congestive Heart Failure,Rural,10,"[1,000-4,999]",10,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,*,*
56021,LARAMIE,WY,Congestive Heart Failure,Urban,11,"[10,000+]",11,"[10,000+]",7,[11-499],10,[11-499],11,"[1,000-4,999]",15,[11-499],14,[11-499]
56023,LINCOLN,WY,Congestive Heart Failure,Rural,10,"[1,000-4,999]",10,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,*,*
56025,NATRONA,WY,Congestive Heart Failure,Urban,11,"[10,000+]",11,"[10,000+]",14,[11-499],20,[11-499],10,[11-499],8,[11-499],12,[11-499]
56027,NIOBRARA,WY,Congestive Heart Failure,Rural,11,[500-999],11,[500-999],*,*,*,*,*,*,*,*,*,*
56029,PARK,WY,Congestive Heart Failure,Rural,12,"[5,000-9,999]",12,"[5,000-9,999]",*,*,0,[11-499],13,[11-499],0,[11-499],19,[11-499]
56031,PLATTE,WY,Congestive Heart Failure,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",*,*,*,*,14,[11-499],*,*,*,*
56033,SHERIDAN,WY,Congestive Heart Failure,Rural,9,"[5,000-9,999]",9,"[5,000-9,999]",0,[11-499],0,[11-499],15,[11-499],9,[11-499],0,[11-499]
56035,SUBLETTE,WY,Congestive Heart Failure,Rural,11,"[1,000-4,999]",11,"[1,000-4,999]",*,*,*,*,0,[11-499],*,*,*,*
56037,SWEETWATER,WY,Congestive Heart Failure,Rural,14,"[5,000-9,999]",14,"[5,000-9,999]",22,[11-499],0,[11-499],10,[11-499],0,[11-499],17,[11-499]
56039,TETON,WY,Congestive Heart Failure,Rural,7,"[1,000-4,999]",7,"[1,000-4,999]",*,*,0,[11-499],0,[11-499],*,*,0,[11-499]
56041,UINTA,WY,Congestive Heart Failure,Rural,11,"[1,000-4,999]",11,"[1,000-4,999]",*,*,*,*,12,[11-499],*,*,*,*
56043,WASHAKIE,WY,Congestive Heart Failure,Rural,13,"[1,000-4,999]",14,"[1,000-4,999]",*,*,*,*,5,[11-499],*,*,*,*
56045,WESTON,WY,Congestive Heart Failure,Rural,14,"[1,000-4,999]",14,"[1,000-4,999]",*,*,*,*,0,[11-499],0,[11-499],*,*
72001,ADJUNTAS,PR,Congestive Heart Failure,Rural,17,[11-499],*,*,*,*,*,*,17,[11-499],*,*,*,*
72003,AGUADA,PR,Congestive Heart Failure,Urban,24,[11-499],*,*,*,*,*,*,24,[11-499],*,*,*,*
72005,AGUADILLA,PR,Congestive Heart Failure,Urban,22,[500-999],18,[11-499],*,*,*,*,22,[500-999],*,*,*,*
72007,AGUAS BUENAS,PR,Congestive Heart Failure,Urban,16,[11-499],*,*,*,*,*,*,15,[11-499],*,*,*,*
72009,AIBONITO,PR,Congestive Heart Failure,Urban,25,[11-499],*,*,*,*,*,*,25,[11-499],*,*,*,*
72011,ANASCO,PR,Congestive Heart Failure,Urban,17,[11-499],*,*,*,*,*,*,17,[11-499],*,*,*,*
72013,ARECIBO,PR,Congestive Heart Failure,Urban,17,"[1,000-4,999]",*,*,*,*,*,*,17,"[1,000-4,999]",*,*,*,*
72015,ARROYO,PR,Congestive Heart Failure,Urban,21,[11-499],*,*,*,*,*,*,21,[11-499],*,*,*,*
72017,BARCELONETA,PR,Congestive Heart Failure,Urban,11,[11-499],*,*,*,*,*,*,11,[11-499],*,*,*,*
72019,BARRANQUITAS,PR,Congestive Heart Failure,Urban,21,[11-499],*,*,*,*,*,*,21,[11-499],*,*,*,*
72021,BAYAMON,PR,Congestive Heart Failure,Urban,16,"[1,000-4,999]",14,[11-499],*,*,*,*,17,"[1,000-4,999]",*,*,*,*
72023,CABO ROJO,PR,Congestive Heart Failure,Urban,16,[500-999],0,[11-499],*,*,*,*,16,[500-999],*,*,*,*
72025,CAGUAS,PR,Congestive Heart Failure,Urban,18,"[1,000-4,999]",25,[11-499],*,*,*,*,18,"[1,000-4,999]",*,*,*,*
72027,CAMUY,PR,Congestive Heart Failure,Urban,17,[11-499],*,*,*,*,*,*,17,[11-499],*,*,*,*
72031,CAROLINA,PR,Congestive Heart Failure,Urban,16,"[1,000-4,999]",0,[11-499],*,*,*,*,16,"[1,000-4,999]",*,*,*,*
72033,CATANO,PR,Congestive Heart Failure,Urban,14,[500-999],*,*,*,*,*,*,14,[500-999],*,*,*,*
72035,CAYEY,PR,Congestive Heart Failure,Urban,22,[500-999],*,*,*,*,*,*,22,[500-999],*,*,*,*
72037,CEIBA,PR,Congestive Heart Failure,Urban,20,[11-499],*,*,*,*,*,*,20,[11-499],*,*,*,*
72039,CIALES,PR,Congestive Heart Failure,Urban,16,[11-499],*,*,*,*,*,*,16,[11-499],*,*,*,*
72041,CIDRA,PR,Congestive Heart Failure,Urban,13,[500-999],*,*,*,*,*,*,13,[500-999],*,*,*,*
72043,COAMO,PR,Congestive Heart Failure,Rural,11,[11-499],*,*,*,*,*,*,11,[11-499],*,*,*,*
72045,COMERIO,PR,Congestive Heart Failure,Urban,18,[11-499],*,*,*,*,*,*,18,[11-499],*,*,*,*
72047,COROZAL,PR,Congestive Heart Failure,Urban,22,[11-499],*,*,*,*,*,*,22,[11-499],*,*,*,*
72049,CULEBRA,PR,Congestive Heart Failure,Rural,0,[11-499],*,*,*,*,*,*,0,[11-499],*,*,*,*
72051,DORADO,PR,Congestive Heart Failure,Urban,12,[500-999],38,[11-499],*,*,*,*,11,[11-499],*,*,*,*
72053,FAJARDO,PR,Congestive Heart Failure,Urban,21,[500-999],*,*,*,*,*,*,21,[500-999],*,*,*,*
72055,GUANICA,PR,Congestive Heart Failure,Urban,18,[11-499],*,*,*,*,*,*,18,[11-499],*,*,*,*
72057,GUAYAMA,PR,Congestive Heart Failure,Urban,15,[11-499],*,*,*,*,*,*,15,[11-499],*,*,*,*
72059,GUAYANILLA,PR,Congestive Heart Failure,Urban,19,[11-499],*,*,*,*,*,*,19,[11-499],*,*,*,*
72061,GUAYNABO,PR,Congestive Heart Failure,Urban,15,"[1,000-4,999]",12,[11-499],*,*,*,*,15,"[1,000-4,999]",*,*,*,*
72063,GURABO,PR,Congestive Heart Failure,Urban,21,[11-499],*,*,*,*,*,*,21,[11-499],*,*,*,*
72065,HATILLO,PR,Congestive Heart Failure,Urban,19,[11-499],*,*,*,*,*,*,19,[11-499],*,*,*,*
72067,HORMIGUEROS,PR,Congestive Heart Failure,Urban,17,[11-499],*,*,*,*,*,*,17,[11-499],*,*,*,*
72069,HUMACAO,PR,Congestive Heart Failure,Urban,14,[500-999],0,[11-499],*,*,*,*,14,[500-999],*,*,*,*
72071,ISABELA,PR,Congestive Heart Failure,Urban,17,[11-499],*,*,*,*,*,*,17,[11-499],*,*,*,*
72073,JAYUYA,PR,Congestive Heart Failure,Rural,17,[11-499],*,*,*,*,*,*,17,[11-499],*,*,*,*
72075,JUANA DIAZ,PR,Congestive Heart Failure,Urban,13,[11-499],*,*,*,*,*,*,13,[11-499],*,*,*,*
