,disparities_FIPS,disparities_County,disparities_State,disparities_Condition,disparities_Urban/Rural,disparities_Total,disparities_Total No. of Beneficiaries,disparities_White,disparities_No. of Beneficiaries Who are White,disparities_Black,disparities_No. of Beneficiaries Who are Black,disparities_Asian/Pacific Islander,disparities_No. of Beneficiaries Who are Asian/Pacific Islander,disparities_Hispanic,disparities_No. of Beneficiaries Who are Hispanic,disparities_American Indian/Alaska Native,disparities_No. of Beneficiaries Who are American Indian/Alaska Native,disparities_Other,disparities_No. of Beneficiaries Who are in Other Ethic Groups,covid_date_as_of,covid_last_week,covid_state,covid_county_name,covid_fips_county_code,covid_deaths_involving_covid_19,covid_deaths_from_all_causes,covid_Longitude,covid_Latitude
8662,41017,DESCHUTES,OR,Congestive Heart Failure,Urban,8,"[10,000+]",8.0,"[10,000+]",19.0,[11-499],3.0,[11-499],9.0,[500-999],9.0,[11-499],13.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Deschutes County,41017.0,22.0,1291.0,-120.605279,43.940449
8673,41039,LANE,OR,Congestive Heart Failure,Urban,11,"[10,000+]",11.0,"[10,000+]",11.0,[11-499],7.0,[11-499],9.0,[500-999],13.0,[11-499],8.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Lane County,41039.0,23.0,2992.0,-120.605279,43.940449
8674,41041,LINCOLN,OR,Congestive Heart Failure,Rural,12,"[10,000+]",12.0,"[10,000+]",,[11-499],10.0,[11-499],8.0,[11-499],18.0,[11-499],16.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Lincoln County,41041.0,12.0,400.0,-120.605279,43.940449
8675,41043,LINN,OR,Congestive Heart Failure,Rural,12,"[10,000+]",12.0,"[10,000+]",8.0,[11-499],14.0,[11-499],10.0,[11-499],16.0,[11-499],9.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Linn County,41043.0,16.0,1058.0,-120.605279,43.940449
8676,41045,MALHEUR,OR,Congestive Heart Failure,Rural,13,"[5,000-9,999]",13.0,"[1,000-4,999]",,[11-499],11.0,[11-499],14.0,[500-999],17.0,[11-499],9.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Malheur County,41045.0,10.0,223.0,-120.605279,43.940449
8677,41047,MARION,OR,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",14.0,[11-499],11.0,[11-499],9.0,"[1,000-4,999]",14.0,[11-499],8.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Marion County,41047.0,85.0,2195.0,-120.605279,43.940449
8679,41051,MULTNOMAH,OR,Congestive Heart Failure,Urban,12,"[10,000+]",12.0,"[10,000+]",15.0,"[1,000-4,999]",10.0,"[1,000-4,999]",11.0,"[1,000-4,999]",14.0,[11-499],10.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Multnomah County,41051.0,199.0,5261.0,-120.605279,43.940449
8683,41059,UMATILLA,OR,Congestive Heart Failure,Rural,13,"[10,000+]",13.0,"[10,000+]",12.0,[11-499],7.0,[11-499],9.0,[500-999],18.0,[11-499],10.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Umatilla County,41059.0,32.0,476.0,-120.605279,43.940449
8686,41065,WASCO,OR,Congestive Heart Failure,Rural,12,"[1,000-4,999]",12.0,"[1,000-4,999]",,*,,[11-499],8.0,[11-499],19.0,[11-499],14.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Wasco County,41065.0,13.0,239.0,-120.605279,43.940449
8687,41067,WASHINGTON,OR,Congestive Heart Failure,Urban,12,"[10,000+]",12.0,"[10,000+]",10.0,[11-499],8.0,"[1,000-4,999]",8.0,"[1,000-4,999]",12.0,[11-499],8.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Washington County,41067.0,100.0,2780.0,-120.605279,43.940449
8689,41071,YAMHILL,OR,Congestive Heart Failure,Urban,15,"[5,000-9,999]",15.0,"[5,000-9,999]",19.0,[11-499],10.0,[11-499],14.0,[11-499],19.0,[11-499],19.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,OR,Yamhill County,41071.0,13.0,691.0,-120.605279,43.940449
8690,42001,ADAMS,PA,Congestive Heart Failure,Rural,12,"[10,000+]",12.0,"[10,000+]",14.0,[11-499],,[11-499],7.0,[11-499],,*,9.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Adams County,42001.0,15.0,684.0,-77.838886,40.896694
8691,42003,ALLEGHENY,PA,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",16.0,"[5,000-9,999]",8.0,[500-999],10.0,[500-999],,[11-499],11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Allegheny County,42003.0,504.0,12858.0,-77.838886,40.896694
8692,42005,ARMSTRONG,PA,Congestive Heart Failure,Urban,13,"[5,000-9,999]",13.0,"[5,000-9,999]",11.0,[11-499],,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Armstrong County,42005.0,17.0,486.0,-77.838886,40.896694
8693,42007,BEAVER,PA,Congestive Heart Failure,Urban,12,"[10,000+]",12.0,"[10,000+]",16.0,[500-999],,[11-499],13.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Beaver County,42007.0,141.0,1530.0,-77.838886,40.896694
8695,42011,BERKS,PA,Congestive Heart Failure,Urban,14,"[10,000+]",14.0,"[10,000+]",14.0,"[1,000-4,999]",9.0,[11-499],11.0,"[1,000-4,999]",,[11-499],11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Berks County,42011.0,406.0,3240.0,-77.838886,40.896694
8696,42013,BLAIR,PA,Congestive Heart Failure,Urban,15,"[10,000+]",15.0,"[10,000+]",14.0,[11-499],10.0,[11-499],9.0,[11-499],,*,9.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Blair County,42013.0,37.0,1485.0,-77.838886,40.896694
8697,42015,BRADFORD,PA,Congestive Heart Failure,Rural,14,"[5,000-9,999]",15.0,"[5,000-9,999]",9.0,[11-499],,[11-499],9.0,[11-499],,*,14.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Bradford County,42015.0,28.0,680.0,-77.838886,40.896694
8698,42017,BUCKS,PA,Congestive Heart Failure,Urban,11,"[10,000+]",11.0,"[10,000+]",13.0,"[1,000-4,999]",9.0,"[1,000-4,999]",10.0,"[1,000-4,999]",,[11-499],13.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Bucks County,42017.0,600.0,5008.0,-77.838886,40.896694
8699,42019,BUTLER,PA,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",12.0,[11-499],9.0,[11-499],15.0,[11-499],,*,11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Butler County,42019.0,15.0,1444.0,-77.838886,40.896694
8702,42025,CARBON,PA,Congestive Heart Failure,Urban,14,"[10,000+]",14.0,"[10,000+]",10.0,[11-499],7.0,[11-499],10.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Carbon County,42025.0,20.0,498.0,-77.838886,40.896694
8703,42027,CENTRE,PA,Congestive Heart Failure,Urban,12,"[10,000+]",12.0,"[10,000+]",16.0,[11-499],10.0,[11-499],12.0,[11-499],,*,9.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Centre County,42027.0,17.0,787.0,-77.838886,40.896694
8704,42029,CHESTER,PA,Congestive Heart Failure,Urban,12,"[10,000+]",12.0,"[10,000+]",17.0,"[1,000-4,999]",8.0,[500-999],9.0,"[1,000-4,999]",,*,8.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Chester County,42029.0,431.0,3550.0,-77.838886,40.896694
8706,42033,CLEARFIELD,PA,Congestive Heart Failure,Rural,14,"[10,000+]",14.0,"[10,000+]",15.0,[11-499],29.0,[11-499],16.0,[11-499],,*,17.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Clearfield County,42033.0,11.0,719.0,-77.838886,40.896694
8708,42037,COLUMBIA,PA,Congestive Heart Failure,Rural,14,"[5,000-9,999]",14.0,"[5,000-9,999]",8.0,[11-499],10.0,[11-499],14.0,[11-499],,*,14.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Columbia County,42037.0,27.0,362.0,-77.838886,40.896694
8710,42041,CUMBERLAND,PA,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",9.0,[11-499],7.0,[11-499],10.0,[11-499],,*,10.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Cumberland County,42041.0,113.0,2028.0,-77.838886,40.896694
8711,42043,DAUPHIN,PA,Congestive Heart Failure,Urban,13,"[10,000+]",12.0,"[10,000+]",15.0,"[1,000-4,999]",10.0,[11-499],10.0,[500-999],,*,14.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Dauphin County,42043.0,215.0,2728.0,-77.838886,40.896694
8712,42045,DELAWARE,PA,Congestive Heart Failure,Urban,13,"[10,000+]",12.0,"[10,000+]",16.0,"[5,000-9,999]",10.0,"[1,000-4,999]",10.0,[500-999],,[11-499],9.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Delaware County,42045.0,767.0,4420.0,-77.838886,40.896694
8714,42049,ERIE,PA,Congestive Heart Failure,Urban,15,"[10,000+]",15.0,"[10,000+]",15.0,"[1,000-4,999]",8.0,[11-499],14.0,[11-499],,*,13.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Erie County,42049.0,53.0,2522.0,-77.838886,40.896694
8715,42051,FAYETTE,PA,Congestive Heart Failure,Urban,14,"[10,000+]",14.0,"[10,000+]",16.0,[11-499],7.0,[11-499],15.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Fayette County,42051.0,13.0,1036.0,-77.838886,40.896694
8717,42055,FRANKLIN,PA,Congestive Heart Failure,Rural,15,"[10,000+]",15.0,"[10,000+]",13.0,[500-999],11.0,[11-499],11.0,[11-499],,*,16.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Franklin County,42055.0,58.0,1267.0,-77.838886,40.896694
8720,42061,HUNTINGDON,PA,Congestive Heart Failure,Rural,16,"[5,000-9,999]",16.0,"[5,000-9,999]",,[11-499],,*,13.0,[11-499],,*,20.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Huntingdon County,42061.0,12.0,287.0,-77.838886,40.896694
8721,42063,INDIANA,PA,Congestive Heart Failure,Rural,17,"[5,000-9,999]",17.0,"[5,000-9,999]",14.0,[11-499],,[11-499],16.0,[11-499],,*,21.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Indiana County,42063.0,12.0,644.0,-77.838886,40.896694
8724,42069,LACKAWANNA,PA,Congestive Heart Failure,Urban,14,"[10,000+]",14.0,"[10,000+]",10.0,[11-499],10.0,[11-499],11.0,[500-999],29.0,[11-499],12.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Lackawanna County,42069.0,245.0,2490.0,-77.838886,40.896694
8725,42071,LANCASTER,PA,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",13.0,"[1,000-4,999]",8.0,[500-999],10.0,"[1,000-4,999]",,[11-499],11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Lancaster County,42071.0,457.0,4282.0,-77.838886,40.896694
8726,42073,LAWRENCE,PA,Congestive Heart Failure,Rural,13,"[5,000-9,999]",13.0,"[5,000-9,999]",13.0,[11-499],,[11-499],14.0,[11-499],,*,13.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Lawrence County,42073.0,31.0,836.0,-77.838886,40.896694
8727,42075,LEBANON,PA,Congestive Heart Failure,Urban,12,"[10,000+]",12.0,"[10,000+]",10.0,[11-499],11.0,[11-499],12.0,[500-999],,*,9.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Lebanon County,42075.0,61.0,1127.0,-77.838886,40.896694
8728,42077,LEHIGH,PA,Congestive Heart Failure,Urban,13,"[10,000+]",14.0,"[10,000+]",14.0,"[1,000-4,999]",10.0,[500-999],10.0,"[1,000-4,999]",,[11-499],13.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Lehigh County,42077.0,533.0,4060.0,-77.838886,40.896694
8729,42079,LUZERNE,PA,Congestive Heart Failure,Urban,15,"[10,000+]",15.0,"[10,000+]",15.0,[500-999],15.0,[11-499],10.0,"[1,000-4,999]",,*,11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Luzerne County,42079.0,196.0,3214.0,-77.838886,40.896694
8730,42081,LYCOMING,PA,Congestive Heart Failure,Urban,14,"[10,000+]",14.0,"[10,000+]",14.0,[11-499],,[11-499],21.0,[11-499],,*,16.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Lycoming County,42081.0,36.0,1096.0,-77.838886,40.896694
8732,42085,MERCER,PA,Congestive Heart Failure,Urban,15,"[10,000+]",15.0,"[10,000+]",18.0,[500-999],9.0,[11-499],16.0,[11-499],,*,25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Mercer County,42085.0,26.0,1027.0,-77.838886,40.896694
8734,42089,MONROE,PA,Congestive Heart Failure,Rural,13,"[10,000+]",13.0,"[10,000+]",13.0,"[1,000-4,999]",9.0,[11-499],11.0,"[1,000-4,999]",,*,10.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Monroe County,42089.0,114.0,1130.0,-77.838886,40.896694
8735,42091,MONTGOMERY,PA,Congestive Heart Failure,Urban,12,"[10,000+]",12.0,"[10,000+]",14.0,"[5,000-9,999]",7.0,"[1,000-4,999]",10.0,"[1,000-4,999]",,[11-499],9.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Montgomery County,42091.0,1171.0,7379.0,-77.838886,40.896694
8736,42093,MONTOUR,PA,Congestive Heart Failure,Rural,14,"[1,000-4,999]",14.0,"[1,000-4,999]",19.0,[11-499],23.0,[11-499],,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Montour County,42093.0,68.0,1010.0,-77.838886,40.896694
8737,42095,NORTHAMPTON,PA,Congestive Heart Failure,Urban,14,"[10,000+]",14.0,"[10,000+]",14.0,"[1,000-4,999]",13.0,[11-499],12.0,"[1,000-4,999]",,*,12.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Northampton County,42095.0,279.0,2306.0,-77.838886,40.896694
8738,42097,NORTHUMBERLND,PA,Congestive Heart Failure,Rural,17,"[10,000+]",17.0,"[10,000+]",15.0,[11-499],14.0,[11-499],11.0,[11-499],,*,17.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Northumberland County,42097.0,87.0,740.0,-77.838886,40.896694
8740,42101,PHILADELPHIA,PA,Congestive Heart Failure,Urban,15,"[10,000+]",14.0,"[10,000+]",18.0,"[10,000+]",9.0,"[5,000-9,999]",13.0,"[5,000-9,999]",16.0,[11-499],14.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Philadelphia County,42101.0,1721.0,13484.0,-77.838886,40.896694
8741,42103,PIKE,PA,Congestive Heart Failure,Urban,13,"[5,000-9,999]",13.0,"[5,000-9,999]",17.0,[11-499],,[11-499],7.0,[11-499],,*,8.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Pike County,42103.0,13.0,242.0,-77.838886,40.896694
8743,42107,SCHUYLKILL,PA,Congestive Heart Failure,Rural,16,"[10,000+]",16.0,"[10,000+]",10.0,[11-499],12.0,[11-499],10.0,[11-499],,*,28.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Schuylkill County,42107.0,60.0,1271.0,-77.838886,40.896694
8744,42109,SNYDER,PA,Congestive Heart Failure,Rural,14,"[1,000-4,999]",14.0,"[1,000-4,999]",29.0,[11-499],,[11-499],,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Snyder County,42109.0,11.0,195.0,-77.838886,40.896694
8747,42115,SUSQUEHANNA,PA,Congestive Heart Failure,Rural,12,"[5,000-9,999]",12.0,"[5,000-9,999]",26.0,[11-499],23.0,[11-499],15.0,[11-499],,*,18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Susquehanna County,42115.0,35.0,341.0,-77.838886,40.896694
8749,42119,UNION,PA,Congestive Heart Failure,Rural,12,"[1,000-4,999]",12.0,"[1,000-4,999]",15.0,[11-499],14.0,[11-499],,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Union County,42119.0,15.0,347.0,-77.838886,40.896694
8752,42125,WASHINGTON,PA,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",17.0,[11-499],11.0,[11-499],8.0,[11-499],,*,8.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Washington County,42125.0,27.0,1825.0,-77.838886,40.896694
8753,42127,WAYNE,PA,Congestive Heart Failure,Rural,13,"[10,000+]",13.0,"[10,000+]",15.0,[11-499],7.0,[11-499],10.0,[11-499],,*,15.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Wayne County,42127.0,12.0,436.0,-77.838886,40.896694
8754,42129,WESTMORELAND,PA,Congestive Heart Failure,Urban,15,"[10,000+]",15.0,"[10,000+]",16.0,[500-999],20.0,[11-499],12.0,[11-499],,*,13.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,Westmoreland County,42129.0,81.0,2800.0,-77.838886,40.896694
8756,42133,YORK,PA,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",14.0,"[1,000-4,999]",12.0,[11-499],10.0,"[1,000-4,999]",,[11-499],8.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,PA,York County,42133.0,206.0,3405.0,-77.838886,40.896694
8759,44003,KENT,RI,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",13.0,[11-499],9.0,[11-499],15.0,[11-499],,[11-499],8.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,RI,Kent County,44003.0,119.0,1220.0,-71.534637,41.572574
8761,44007,PROVIDENCE,RI,Congestive Heart Failure,Urban,13,"[10,000+]",14.0,"[10,000+]",12.0,"[1,000-4,999]",10.0,[500-999],8.0,"[1,000-4,999]",,[11-499],12.0,[500-999],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,RI,Providence County,44007.0,937.0,5670.0,-71.534637,41.572574
8762,44009,WASHINGTON,RI,Congestive Heart Failure,Urban,12,"[10,000+]",12.0,"[10,000+]",13.0,[11-499],4.0,[11-499],14.0,[11-499],17.0,[11-499],7.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,RI,Washington County,44009.0,62.0,852.0,-71.534637,41.572574
8764,45003,AIKEN,SC,Congestive Heart Failure,Urban,12,"[10,000+]",11.0,"[10,000+]",14.0,"[1,000-4,999]",8.0,[11-499],7.0,[11-499],,[11-499],12.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Aiken County,45003.0,79.0,1382.0,-80.864614,33.878572
8766,45007,ANDERSON,SC,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",17.0,"[1,000-4,999]",11.0,[11-499],9.0,[11-499],23.0,[11-499],12.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Anderson County,45007.0,198.0,2079.0,-80.864614,33.878572
8769,45013,BEAUFORT,SC,Congestive Heart Failure,Rural,9,"[10,000+]",8.0,"[10,000+]",14.0,"[1,000-4,999]",6.0,[11-499],5.0,[11-499],,*,8.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Beaufort County,45013.0,73.0,1232.0,-80.864614,33.878572
8770,45015,BERKELEY,SC,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",12.0,"[1,000-4,999]",8.0,[11-499],11.0,[11-499],,*,8.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Berkeley County,45015.0,54.0,1133.0,-80.864614,33.878572
8771,45017,CALHOUN,SC,Congestive Heart Failure,Urban,11,"[1,000-4,999]",11.0,[500-999],12.0,[500-999],,*,,*,,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Calhoun County,45017.0,13.0,110.0,-80.864614,33.878572
8772,45019,CHARLESTON,SC,Congestive Heart Failure,Urban,11,"[10,000+]",10.0,"[10,000+]",13.0,"[10,000+]",8.0,[11-499],10.0,[500-999],24.0,[11-499],5.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Charleston County,45019.0,376.0,4030.0,-80.864614,33.878572
8773,45021,CHEROKEE,SC,Congestive Heart Failure,Rural,14,"[5,000-9,999]",14.0,"[5,000-9,999]",18.0,[500-999],,[11-499],22.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Cherokee County,45021.0,11.0,374.0,-80.864614,33.878572
8775,45025,CHESTERFIELD,SC,Congestive Heart Failure,Rural,15,"[5,000-9,999]",15.0,"[1,000-4,999]",17.0,"[1,000-4,999]",,[11-499],,[11-499],,*,18.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Chesterfield County,45025.0,24.0,358.0,-80.864614,33.878572
8776,45027,CLARENDON,SC,Congestive Heart Failure,Rural,17,"[5,000-9,999]",16.0,"[1,000-4,999]",20.0,"[1,000-4,999]",,[11-499],15.0,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Clarendon County,45027.0,32.0,254.0,-80.864614,33.878572
8777,45029,COLLETON,SC,Congestive Heart Failure,Rural,15,"[5,000-9,999]",14.0,"[1,000-4,999]",17.0,"[1,000-4,999]",24.0,[11-499],,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Colleton County,45029.0,39.0,416.0,-80.864614,33.878572
8778,45031,DARLINGTON,SC,Congestive Heart Failure,Urban,17,"[10,000+]",17.0,"[5,000-9,999]",17.0,"[1,000-4,999]",32.0,[11-499],11.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Darlington County,45031.0,66.0,504.0,-80.864614,33.878572
8779,45033,DILLON,SC,Congestive Heart Failure,Rural,18,"[1,000-4,999]",17.0,"[1,000-4,999]",19.0,"[1,000-4,999]",,*,27.0,[11-499],,[11-499],,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Dillon County,45033.0,18.0,265.0,-80.864614,33.878572
8780,45035,DORCHESTER,SC,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[10,000+]",15.0,"[1,000-4,999]",10.0,[11-499],9.0,[11-499],,[11-499],6.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Dorchester County,45035.0,61.0,760.0,-80.864614,33.878572
8782,45039,FAIRFIELD,SC,Congestive Heart Failure,Urban,14,"[1,000-4,999]",13.0,"[1,000-4,999]",17.0,"[1,000-4,999]",,[11-499],,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Fairfield County,45039.0,13.0,177.0,-80.864614,33.878572
8783,45041,FLORENCE,SC,Congestive Heart Failure,Urban,17,"[10,000+]",17.0,"[10,000+]",18.0,"[5,000-9,999]",5.0,[11-499],12.0,[11-499],,*,7.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Florence County,45041.0,371.0,2519.0,-80.864614,33.878572
8784,45043,GEORGETOWN,SC,Congestive Heart Failure,Rural,11,"[10,000+]",10.0,"[10,000+]",13.0,"[1,000-4,999]",,[11-499],8.0,[11-499],,*,10.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Georgetown County,45043.0,67.0,785.0,-80.864614,33.878572
8785,45045,GREENVILLE,SC,Congestive Heart Failure,Urban,12,"[10,000+]",12.0,"[10,000+]",15.0,"[5,000-9,999]",10.0,[11-499],8.0,[500-999],9.0,[11-499],10.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Greenville County,45045.0,358.0,4483.0,-80.864614,33.878572
8786,45047,GREENWOOD,SC,Congestive Heart Failure,Rural,16,"[10,000+]",15.0,"[5,000-9,999]",18.0,"[1,000-4,999]",11.0,[11-499],17.0,[11-499],,*,25.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Greenwood County,45047.0,107.0,900.0,-80.864614,33.878572
8787,45049,HAMPTON,SC,Congestive Heart Failure,Rural,14,"[1,000-4,999]",15.0,"[1,000-4,999]",13.0,"[1,000-4,999]",,*,,[11-499],,*,,*,2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Hampton County,45049.0,22.0,146.0,-80.864614,33.878572
8788,45051,HORRY,SC,Congestive Heart Failure,Urban,11,"[10,000+]",11.0,"[10,000+]",13.0,"[1,000-4,999]",5.0,[11-499],8.0,[500-999],,[11-499],11.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Horry County,45051.0,222.0,3339.0,-80.864614,33.878572
8789,45053,JASPER,SC,Congestive Heart Failure,Rural,12,"[1,000-4,999]",12.0,"[1,000-4,999]",11.0,[500-999],,[11-499],7.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Jasper County,45053.0,29.0,259.0,-80.864614,33.878572
8790,45055,KERSHAW,SC,Congestive Heart Failure,Urban,13,"[10,000+]",13.0,"[5,000-9,999]",16.0,"[1,000-4,999]",9.0,[11-499],6.0,[11-499],,*,22.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Kershaw County,45055.0,21.0,479.0,-80.864614,33.878572
8791,45057,LANCASTER,SC,Congestive Heart Failure,Rural,12,"[10,000+]",12.0,"[5,000-9,999]",14.0,"[1,000-4,999]",11.0,[11-499],13.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Lancaster County,45057.0,55.0,652.0,-80.864614,33.878572
8792,45059,LAURENS,SC,Congestive Heart Failure,Urban,15,"[5,000-9,999]",15.0,"[5,000-9,999]",16.0,"[1,000-4,999]",,[11-499],13.0,[11-499],,*,,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Laurens County,45059.0,33.0,565.0,-80.864614,33.878572
8794,45063,LEXINGTON,SC,Congestive Heart Failure,Urban,12,"[10,000+]",12.0,"[10,000+]",14.0,"[1,000-4,999]",5.0,[11-499],9.0,[11-499],,[11-499],15.0,[11-499],2020-11-04T00:00:00.000,2020-10-31T00:00:00.000,SC,Lexington County,45063.0,191.0,2341.0,-80.864614,33.878572
